Year,Region,Total,Crimes against the person,Murder,Intentional murder,Attempted murder,Killing a newborn,Pushing to suicide,Lust,Molestation,Rape,Attempted rape,Pimping,Forced homosexualism,Body injury,Severe body injury,Kidnapping,Keeping hostage,Human trafficing,Crime against property,Robbery,Armed robbery,Armed robbery with firearms,Stealing,Pickpocketing,Breaking and entering,Office break in,Store break in,Vehicle break in ,Fraud,Extortion,Generally dangerous crime,Arson,Damage through explosion,Illegal firearms ownership,Vehicle theft,Falsifying license plates,Illegal entry of a vehicle,Crimes related to drugs,Smuggling,"Production, possession, distribution, carrying"
2002,Gabrovo,74.95327103,97.2972973,85.71428571,50,100,0,0,100,100,100,100,100,0,96.42857143,100,100,0,100,67.28334956,72.4137931,0,0,64.63963964,66.66666667,55.25525526,60.71428571,53.10344828,69.23076923,72.4137931,100,81.02409639,22.22222222,0,100,100,66.66666667,0,100,0,100
2002,Dobritch,53.1835206,87.72727273,61.9047619,55.55555556,66.66666667,100,50,86.11111111,75,83.33333333,100,100,100,87.12871287,0,90,0,100,45.34005038,56.52173913,0,0,42.13055667,65.51724138,26.27659574,34.61538462,31.46067416,37.43842365,82.66666667,0,60.08230453,28.94736842,0,91.66666667,0,0,0,100,0,100
2002,Kardzhali,70.04048583,96.6442953,75,100,100,0,0,100,100,100,100,0,100,94.93670886,0,100,0,100,58.84732053,90.32258065,0,0,55.77156744,30,56.75675676,46.15384615,60.6741573,45.08196721,80.76923077,100,89.6713615,44,0,100,0,0,100,100,0,100
2002,Kyustendil,55.06877229,91.08910891,85.71428571,85.71428571,100,0,0,100,100,100,100,0,0,88.70967742,100,100,0,100,41.72714078,93.75,0,0,39.44223108,31.81818182,31.41361257,48.48484848,33.6,19.73684211,90,71.42857143,82.45125348,24.13793103,0,100,100,100,0,100,0,100
2002,Lovech,64.98127341,96.08938547,92.30769231,90,100,100,0,92,100,93.33333333,0,50,100,96.22641509,50,100,0,100,50.07874016,86.95652174,0,0,47.29020979,42.85714286,41.66666667,0,48.11320755,41.89189189,73.07692308,0,80.21505376,19.44444444,0,100,66.66666667,100,0,100,0,100
2002,Montana,70.56883759,97.16312057,91.66666667,100,100,0,0,100,100,100,100,0,0,96.47058824,66.66666667,100,0,100,63.68943374,92,100,100,61.72370089,69.23076923,48.92367906,72,52.63157895,60.9375,91.66666667,100,77.86259542,29.09090909,0,100,0,0,66.66666667,100,0,100
2002,Pazardzhik,49.09047391,85.15625,56.25,72.72727273,100,0,9.090909091,92.85714286,100,90,100,50,100,84.69387755,0,92.30769231,0,92.94117647,39.40508021,56.12244898,0,0,34.77237049,18.27956989,22.09090909,33.89830508,23.88663968,13.4751773,76.28865979,100,61.70212766,22.89156627,12.5,88.23529412,0,50,100,100,0,100
2002,Pernik,50.56636654,96.07843137,80,75,100,0,57.14285714,94.11764706,88.88888889,100,0,100,0,95.85253456,83.33333333,100,0,98.35164835,32.54009312,63.63636364,0,0,27.70149254,47.72727273,23.41197822,32.60869565,28.48101266,19.31818182,81.81818182,85.71428571,50.28011204,17.5,0,87.87878788,0,92.85714286,0,95.23809524,0,100
2002,Pleven,52.29885057,87.9245283,84.21052632,100,100,0,33.33333333,91.89189189,85.71428571,94.44444444,100,100,0,88,66.66666667,81.81818182,0,87.5,39.07052779,43.53312303,25,25,36.38593622,29.03225806,28.25376063,38.4,34.39306358,23.20675105,56.66666667,80,79.28571429,16.94915254,33.33333333,100,50,0,0,94.59459459,0,100
2002,Plovdiv,47.49512782,86.1163227,72.09302326,100,80,0,0,89.87341772,88.23529412,97.61904762,100,61.53846154,100,79.08496732,75,93.33333333,0,91.22807018,37.66889142,37.25490196,40,41.66666667,30.86803398,22.98850575,24.6628131,28.57142857,32.47058824,27.5286757,87.93103448,62.5,57.72759351,23.07692308,27.27272727,98.29059829,66.66666667,100,100,99.39393939,0,99.37106918
2002,Razgrad,75.32588454,98.12030075,84.61538462,100,75,0,0,100,100,100,0,0,100,99.01960784,100,100,0,98.30508475,68.81648936,85.18518519,100,100,67.16196137,52.94117647,43.61702128,38.46153846,51.85185185,75.6302521,76.92307692,100,79.92277992,42.85714286,0,100,0,66.66666667,0,100,0,100
2002,Ruse,56.03973086,89.79591837,78.57142857,75,100,100,33.33333333,86.20689655,72.72727273,100,100,83.33333333,100,87.09677419,50,81.81818182,0,96.25,44.61538462,48.64864865,0,0,41.18607182,62.74509804,33.11345646,38.46153846,54.96183206,19.22141119,77.5,81.81818182,73.5426009,10.34482759,0,78.57142857,50,5.405405405,100,100,0,100
